# {"t_start": 1551361927.276374, "env_id": "parking-v1"} 
r,l,t
-11.300765,20,25.378442
-17.209746,20,46.688623
-12.222867,20,68.87932
-9.762337,20,89.005683
-11.82394,20,109.103788
-9.039983,20,129.212281
-15.212792,20,159.657761
-10.587131,20,186.944167
-17.88097,20,207.552372
-11.802516,20,233.490033
-12.521935,20,255.717994
-12.048806,20,280.924685
-9.873384,20,301.990508
-13.386031,20,326.386018
-10.248846,20,357.57681
-8.259494,20,381.871441
-9.577163,20,405.126704
-15.294917,20,434.97123
-6.779096,20,465.66331
-12.391651,20,490.027618
-11.115847,20,514.2927
