epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,-0.0023811103,0.057767257,-0.0012175257,0.050870497,10.0,-8.145152,0.0,50.0,0.0
1,-0.0028869745,0.058993783,-0.0015512005,0.051609784,20.0,-11.070204,0.0,100.0,0.0
2,-0.0034413133,0.060306493,-0.0019013346,0.05239649,30.0,-12.57378,0.0,150.0,0.0
3,-0.003972882,0.061536323,-0.0022578747,0.053169418,40.0,-13.763232,0.0,200.0,0.0
4,-0.0045147073,0.06268007,-0.0025870919,0.053834047,50.0,-17.408983,0.0,250.0,0.0
5,-0.005049906,0.0637907,-0.002934022,0.05453862,60.0,-18.306679,0.0,300.0,0.0
6,-0.005564897,0.06476249,-0.0032591962,0.05514902,70.0,-19.552149,0.0,350.0,0.0
7,-0.006055057,0.065664396,-0.0035833018,0.055709973,80.0,-19.999193,0.0,400.0,0.0
8,-0.006562919,0.06654317,-0.0039017703,0.056257572,90.0,-19.913162,0.0,450.0,0.0
9,-0.007103855,0.06743059,-0.0042368066,0.0568409,100.0,-19.946331,0.0,500.0,0.0
10,-0.0076246955,0.0682933,-0.004550757,0.05734932,110.0,-19.88213,0.0,550.0,0.0
11,-0.008134537,0.0691095,-0.0048677274,0.057858232,120.0,-20.015139,0.0,600.0,0.0
12,-0.008629172,0.06984893,-0.005189857,0.058354616,130.0,-19.974442,0.0,650.0,0.0
13,-0.0091242725,0.07056528,-0.005496384,0.05881874,140.0,-20.023922,0.0,700.0,0.0
14,-0.00959367,0.0712102,-0.0057859286,0.05922876,150.0,-20.01879,0.0,750.0,0.0
15,-0.010068052,0.07187318,-0.0060758363,0.059636045,160.0,-20.007267,0.0,800.0,0.0
16,-0.010520749,0.07246321,-0.006347496,0.060006622,170.0,-19.92531,0.0,850.0,0.0
17,-0.010989566,0.07304635,-0.0066508255,0.060426116,180.0,-20.082544,0.0,900.0,0.0
18,-0.011428948,0.07360778,-0.0069262586,0.06079149,190.0,-19.960743,0.0,950.0,0.0
19,-0.011856858,0.07412873,-0.007196955,0.06113675,200.0,-19.999136,0.0,1000.0,0.0
20,-0.012334563,0.07470549,-0.007486883,0.06151287,210.0,-19.983662,0.0,1050.0,0.0
21,-0.012783715,0.07524073,-0.0077673364,0.061879743,220.0,-19.984371,0.0,1100.0,0.0
22,-0.013228805,0.075752705,-0.008055356,0.06224524,230.0,-20.005175,0.0,1150.0,0.0
23,-0.013668795,0.076244466,-0.008338005,0.06258851,240.0,-20.019062,0.0,1200.0,0.0
24,-0.01409592,0.076697744,-0.008608835,0.06290736,250.0,-19.985867,0.0,1250.0,0.0
25,-0.014528795,0.077176325,-0.008885124,0.06322654,260.0,-19.985725,0.0,1300.0,0.0
26,-0.01493919,0.07760054,-0.009152918,0.06353278,270.0,-19.98101,0.0,1350.0,0.0
27,-0.015362418,0.07803824,-0.009422525,0.06382939,280.0,-20.002808,0.0,1400.0,0.0
28,-0.015747814,0.078430854,-0.009659829,0.064087234,290.0,-20.018253,0.0,1450.0,0.0
29,-0.01616049,0.078837715,-0.009926023,0.06437466,300.0,-20.015156,0.0,1500.0,0.0
